Date,Ticker,Company Name,Sector,Weight,Price,Price Sell
4/28/2025,JNJ,Johnson & Johnson,Health Care,4.00%,$154.03 ,$154.58
4/28/2025,PG,Procter & Gamble,Consumer Staples,4.00%,$160.75 ,$161.15
4/28/2025,KO,Coca-Cola,Consumer Staples,4.00%,$71.28 ,$71.84
4/28/2025,XOM,ExxonMobil,Energy,4.00%,$107.64 ,$107.37
4/28/2025,CVX,Chevron,Energy,4.00%,$138.41 ,$137.62
4/28/2025,ABBV,AbbVie,Health Care,4.00%,$190.69 ,$191.85
4/28/2025,O,Realty Income,Real Estate,4.00%,$56.17 ,$56.30
4/28/2025,JPM,JPMorgan Chase,Financials,4.00%,$242.05 ,$243.45
4/28/2025,MCD,McDonald's,Consumer Discretionary,4.00%,$315.02 ,$312.73
4/28/2025,PEP,PepsiCo,Consumer Staples,4.00%,$132.30 ,$132.85
4/28/2025,MDT,Medtronic,Health Care,4.00%,$83.35 ,$83.90
4/28/2025,LOW,Lowe's,Consumer Discretionary,4.00%,$219.98 ,$222.09
4/28/2025,CL,Colgate-Palmolive,Consumer Staples,4.00%,$90.42 ,$91.78
4/28/2025,ED,Consolidated Edison,Utilities,4.00%,$110.19 ,$111.18
4/28/2025,DUK,Duke Energy,Utilities,4.00%,$119.58 ,$120.60
4/28/2025,NEE,NextEra Energy,Utilities,4.00%,$65.66 ,$66.71
4/28/2025,D,Dominion Energy,Utilities,4.00%,$53.10 ,$53.66
4/28/2025,CSCO,Cisco Systems,Information Technology,4.00%,$56.50 ,$56.99
4/28/2025,IBM,International Business Machines,Information Technology,4.00%,$234.60 ,$237.81
4/28/2025,VZ,Verizon Communications,Communication Services,4.00%,$41.71 ,$42.27
4/28/2025,CAT,Caterpillar,Industrials,4.00%,$305.94 ,$306.28
4/28/2025,TGT,Target,Consumer Discretionary,4.00%,$95.28 ,$95.81
4/28/2025,HD,Home Depot,Consumer Discretionary,4.00%,$354.72 ,$356.78
4/28/2025,CLX,Clorox,Consumer Staples,4.00%,$138.78 ,$141.20
4/28/2025,DOV,Dover Corporation,Industrials,4.00%,$169.94 ,$167.73
4/30/2025,JNJ,Johnson & Johnson,Healthcare,4.00%,$154.98 ,$153.15
4/30/2025,PG,Procter & Gamble,Consumer Staples,4.00%,$161.46 ,$158.90
4/30/2025,KO,Coca-Cola,Consumer Staples,4.00%,$72.04 ,$70.79
4/30/2025,PEP,PepsiCo,Consumer Staples,4.00%,$134.11 ,$132.10
4/30/2025,XOM,ExxonMobil,Energy,4.00%,$104.67 ,$104.81
4/30/2025,CVX,Chevron,Energy,4.00%,$134.42 ,$134.62
4/30/2025,VZ,Verizon Communications,Communication Services,4.00%,$43.36 ,$42.61
4/30/2025,PFE,Pfizer,Healthcare,4.00%,$23.55 ,$23.08
4/30/2025,MMM,3M,Industrials,4.00%,$138.23 ,$137.23
4/30/2025,ABBV,AbbVie,Healthcare,4.00%,$193.43 ,$191.68
4/30/2025,IBM,International Business Machines,Information Technology,4.00%,$240.22 ,$238.08
4/30/2025,O,Realty Income,Real Estate,4.00%,$56.78 ,$56.36
4/30/2025,DUK,Duke Energy,Utilities,4.00%,$120.92 ,$120.24
4/30/2025,SO,Southern Company,Utilities,4.00%,$91.12 ,$90.70
4/30/2025,ED,Consolidated Edison,Utilities,4.00%,$111.80 ,$111.61
4/30/2025,MO,Altria Group,Consumer Staples,4.00%,$58.14 ,$58.30
4/30/2025,PM,Philip Morris International,Consumer Staples,4.00%,$170.08 ,$166.78
4/30/2025,CAT,Caterpillar,Industrials,4.00%,$308.14 ,$312.81
4/30/2025,TGT,Target,Consumer Discretionary,4.00%,$95.61 ,$94.89
4/30/2025,BMY,Bristol-Myers Squibb,Healthcare,4.00%,$49.55 ,$48.96
4/30/2025,CSCO,Cisco Systems,Information Technology,4.00%,$57.38 ,$57.77
4/30/2025,PRU,Prudential Financial,Financials,4.00%,$101.43 ,$100.46
4/30/2025,KMB,Kimberly-Clark,Consumer Staples,4.00%,$130.55 ,$128.66
4/30/2025,GD,General Dynamics,Industrials,4.00%,$270.73 ,$270.12
4/30/2025,MET,MetLife,Financials,4.00%,$66.15 ,$74.64
5/1/2025,JNJ,Johnson & Johnson,Healthcare,6.00%,$153.15 ,$154.79
5/1/2025,PG,Procter & Gamble,Consumer Staples,6.00%,$158.90 ,$159.43
5/1/2025,KO,Coca-Cola,Consumer Staples,4.00%,$70.79 ,$71.14
5/1/2025,MMM,3M,Industrials,3.00%,$137.23 ,$141.39
5/1/2025,T,AT&T,Communication Services,3.00%,$27.37 ,$27.34
5/1/2025,XOM,ExxonMobil,Energy,7.00%,$104.81 ,$105.24
5/1/2025,CVX,Chevron,Energy,6.00%,$134.62 ,$136.83
5/1/2025,JPM,JPMorgan Chase,Financials,6.00%,$245.71 ,$251.30
5/1/2025,O,Realty Income,Real Estate,3.00%,$56.36 ,$56.15
5/1/2025,DUK,Duke Energy,Utilities,6.00%,$120.24 ,$120.48
5/1/2025,SO,Southern Company,Utilities,6.00%,$90.70 ,$90.29
5/1/2025,NEE,NextEra Energy,Utilities,4.00%,$65.52 ,$66.55
5/1/2025,MDT,Medtronic,Healthcare,3.00%,$82.87 ,$84.15
5/1/2025,ABBV,AbbVie,Healthcare,4.00%,$191.68 ,$196.77
5/1/2025,CL,Colgate-Palmolive,Consumer Staples,3.00%,$90.15 ,$89.94
5/1/2025,CAT,Caterpillar,Industrials,3.00%,$312.81 ,$322.50
5/1/2025,IBM,International Business Machines,Information Technology,4.00%,$238.07 ,$243.93
5/1/2025,CSCO,Cisco Systems,Information Technology,3.00%,$57.77 ,$58.97
5/1/2025,TGT,Target,Consumer Discretionary,3.00%,$94.88 ,$96.27
5/1/2025,LOW,Lowe's,Consumer Discretionary,3.00%,$221.14 ,$225.99
5/1/2025,PPG,PPG Industries,Materials,2.00%,$108.09 ,$109.80
5/1/2025,VZ,Verizon,Communication Services,3.00%,$42.61 ,$43.04
5/1/2025,PM,Philip Morris International,Consumer Staples,3.00%,$168.78 ,$169.58
5/1/2025,ED,Consolidated Edison,Utilities,3.00%,$111.61 ,$109.10
5/1/2025,BAC,Bank of America,Financials,3.00%,$39.93 ,$40.83
5/4/2025,NEE,NextEra Energy,Utilities,4.00%,$66.55 ,$65.57
5/4/2025,DUK,Duke Energy,Utilities,4.00%,$120.48 ,$119.66
5/4/2025,SO,Southern Company,Utilities,4.00%,$90.29 ,$90.29
5/4/2025,PG,Procter & Gamble,Consumer Staples,4.00%,$154.43 ,$157.75
5/4/2025,KO,Coca-Cola,Consumer Staples,4.00%,$71.14 ,$71.19
5/4/2025,PEP,PepsiCo,Consumer Staples,4.00%,$132.30 ,$130.56
5/4/2025,WMT,Walmart,Consumer Staples,4.00%,$98.51 ,$99.09
5/4/2025,CL,Colgate-Palmolive,Consumer Staples,4.00%,$89.94 ,$90.20
5/4/2025,JNJ,Johnson & Johnson,Healthcare,4.00%,$154.79 ,$153.68
5/4/2025,ABBV,AbbVie,Healthcare,4.00%,$196.77 ,$194.39
5/4/2025,MDT,Medtronic,Healthcare,4.00%,$84.15 ,$82.76
5/4/2025,BMY,Bristol-Myers Squibb,Healthcare,4.00%,$49.91 ,$49.40
5/4/2025,O,Realty Income,Real Estate,4.00%,$56.15 ,$56.13
5/4/2025,XOM,ExxonMobil,Energy,4.00%,$105.24 ,$102.33
5/4/2025,CVX,Chevron,Energy,4.00%,$136.83 ,$133.87
5/4/2025,HON,Honeywell,Industrials,4.00%,$213.04 ,$213.16
5/4/2025,CAT,Caterpillar,Industrials,4.00%,$322.50 ,$321.93
5/4/2025,JPM,JPMorgan Chase,Financials,4.00%,$251.30 ,$251.35
5/4/2025,CSCO,Cisco,Information Technology,4.00%,$58.98 ,$58.96
5/4/2025,TXN,Texas Instruments,Information Technology,4.00%,$163.33 ,$161.25
5/4/2025,APD,Air Products & Chemicals,Materials,4.00%,$275.86 ,$270.48
5/4/2025,TGT,Target,Consumer Discretionary,4.00%,$96.27 ,$92.96
5/4/2025,VZ,Verizon,Communication Services,4.00%,$43.04 ,$42.85
5/4/2025,PFE,Pfizer,Healthcare,4.00%,$23.34 ,$23.02
5/4/2025,UNP,Union Pacific,Industrials,4.00%,$216.97 ,$215.23
5/6/2025,JNJ,Johnson & Johnson,Healthcare,4.00%,$153.16 ,$155.96
5/6/2025,PG,Procter & Gamble,Consumer Staples,4.00%,$158.17 ,$158.20
5/6/2025,KO,Coca-Cola,Consumer Staples,4.00%,$71.21 ,$71.89
