Date,Ticker,Company Name,Sector,Weight,Price,Price Sell
4/28/2025,MSFT,Microsoft Corporation,Information Technology,8.00%,$390.44 ,$393.32
4/28/2025,AAPL,Apple Inc.,Information Technology,8.00%,$209.86 ,$210.93
4/28/2025,NVDA,NVIDIA Corporation,Information Technology,8.00%,$108.72 ,$109.01
4/28/2025,AMZN,Amazon.com Inc.,Consumer Discretionary,8.00%,$187.70 ,$187.39
4/28/2025,GOOGL,Alphabet Inc.,Communication Services,8.00%,$162.22 ,$161.86
4/28/2025,META,Meta Platforms Inc.,Communication Services,7.00%,$549.32 ,$554.01
4/28/2025,TSLA,Tesla Inc.,Consumer Discretionary,6.00%,$285.88 ,$292.03
4/28/2025,ADBE,Adobe Inc.,Information Technology,4.00%,$368.62 ,$370.98
4/28/2025,CRM,Salesforce Inc.,Information Technology,4.00%,$265.22 ,$267.34
4/28/2025,NFLX,Netflix Inc.,Communication Services,3.00%,"$1,110.38 ","$1,125.64"
4/28/2025,AMD,Advanced Micro Devices Inc.,Information Technology,3.00%,$96.39 ,$96.06
4/28/2025,AVGO,Broadcom Inc.,Information Technology,3.00%,$192.02 ,$190.72
4/28/2025,PANW,Palo Alto Networks Inc.,Information Technology,3.00%,$181.54 ,$186.65
4/28/2025,NOW,ServiceNow Inc.,Information Technology,3.00%,$937.41 ,$942.86
4/28/2025,SNOW,Snowflake Inc.,Information Technology,3.00%,$158.96 ,$160.35
4/28/2025,DDOG,Datadog Inc.,Information Technology,3.00%,$101.74 ,$102.31
4/28/2025,UBER,Uber Technologies Inc.,Industrials,2.00%,$78.33 ,$79.42
4/28/2025,UNH,UnitedHealth Group Inc.,Health Care,2.00%,$417.04 ,$406.34
4/28/2025,MRNA,Moderna Inc.,Health Care,2.00%,$27.46 ,$27.82
4/28/2025,REGN,Regeneron Pharmaceuticals Inc.,Health Care,2.00%,$609.96 ,$568.07
4/28/2025,VRTX,Vertex Pharmaceuticals Incorporated,Health Care,2.00%,$496.49 ,$503.50
4/28/2025,ISRG,Intuitive Surgical Inc.,Health Care,2.00%,$514.01 ,$514.89
4/28/2025,BKNG,Booking Holdings Inc.,Consumer Discretionary,2.00%,"$4,881.52 ","$4,900.77"
4/28/2025,HD,The Home Depot Inc.,Consumer Discretionary,2.00%,$354.72 ,$356.78
4/28/2025,SHOP,Shopify Inc.,Consumer Discretionary,2.00%,$98.57 ,$98.92
5/1/2025,MSFT,Microsoft Corporation,Information Technology,6.00%,$424.62 ,$434.48
5/1/2025,NVDA,NVIDIA Corporation,Information Technology,6.00%,$11.70 ,$114.49
5/1/2025,AMZN,Amazon.com Inc.,Consumer Discretionary,6.00%,$190.20 ,$189.98
5/1/2025,GOOGL,Alphabet Inc.,Communication Services,6.00%,$162.59 ,$165.61
5/1/2025,META,Meta Platforms Inc.,Communication Services,6.00%,$571.77 ,$596.56
5/1/2025,AAPL,Apple Inc.,Information Technology,5.00%,$213.04 ,$205.08
5/1/2025,ADBE,Adobe Inc.,Information Technology,5.00%,$374.63 ,$380.87
5/1/2025,CRM,Salesforce Inc.,Information Technology,5.00%,$268.90 ,$274.64
5/1/2025,NOW,ServiceNow Inc.,Information Technology,5.00%,$957.95 ,$977.36
5/1/2025,PANW,Palo Alto Networks Inc.,Information Technology,5.00%,$186.27 ,$187.70
5/1/2025,AMD,Advanced Micro Devices Inc.,Information Technology,5.00%,$96.65 ,$98.80
5/1/2025,AVGO,Broadcom Inc.,Information Technology,5.00%,$196.87 ,$203.16
5/1/2025,TSLA,Tesla Inc.,Consumer Discretionary,3.00%,$280.52 ,$287.21
5/1/2025,UNH,UnitedHealth Group Inc.,Health Care,3.00%,$397.85 ,$397.10
5/1/2025,ISRG,Intuitive Surgical Inc.,Health Care,3.00%,$517.18 ,$529.42
5/1/2025,LLY,Eli Lilly and Co.,Health Care,3.00%,$792.48 ,$821.94
5/1/2025,V,Visa Inc.,Financials,3.00%,$341.88 ,$347.02
5/1/2025,MA,Mastercard Inc.,Financials,3.00%,$545.89 ,$558.63
5/1/2025,AMAT,Applied Materials Inc.,Information Technology,3.00%,$148.54 ,$154.66
5/1/2025,LRCX,Lam Research Corp.,Information Technology,3.00%,$71.55 ,$74.33
5/1/2025,INTU,Intuit Inc.,Information Technology,3.00%,$622.35 ,$630.83
5/1/2025,HD,Home Depot Inc.,Consumer Discretionary,2.00%,$356.08 ,$362.27
5/1/2025,NFLX,Netflix Inc.,Communication Services,2.00%,"$1,133.47 ","$1,156.49"
5/1/2025,UBER,Uber Technologies Inc.,Industrials,2.00%,$80.89 ,$84.28
5/1/2025,MRNA,Moderna Inc.,Health Care,2.00%,$27.03 ,$27.61
5/4/2025,MSFT,Microsoft Corporation,Information Technology,6.00%,$434.48 ,$435.37
5/4/2025,AAPL,Apple Inc.,Information Technology,6.00%,$205.08 ,$198.63
5/4/2025,AMZN,Amazon.com Inc.,Consumer Discretionary,6.00%,$189.98 ,$186.35
5/4/2025,GOOG,Alphabet Inc.,Communication Services,6.00%,$165.61 ,$165.85
5/4/2025,NVDA,NVIDIA Corporation,Information Technology,6.00%,$114.49 ,$113.81
5/4/2025,META,Meta Platforms Inc.,Communication Services,5.00%,$595.56 ,$598.81
5/4/2025,TSLA,Tesla Inc.,Consumer Discretionary,5.00%,$287.21 ,$280.26
5/4/2025,CRM,Salesforce Inc.,Information Technology,5.00%,$274.64 ,$272.20
5/4/2025,ADBE,Adobe Inc.,Information Technology,5.00%,$380.87 ,$381.06
5/4/2025,AMD,Advanced Micro Devices Inc.,Information Technology,5.00%,$98.80 ,$100.59
5/4/2025,AVGO,Broadcom Inc.,Information Technology,4.00%,$203.16 ,$200.25
5/4/2025,NOW,ServiceNow Inc.,Information Technology,4.00%,$977.36 ,$978.05
5/4/2025,PANW,Palo Alto Networks Inc.,Information Technology,4.00%,$187.70 ,$188.13
5/4/2025,CRWD,CrowdStrike Holdings Inc.,Information Technology,4.00%,$440.58 ,$443.47
5/4/2025,REGN,Regeneron Pharmaceuticals Inc.,Health Care,4.00%,$604.72 ,$602.60
5/4/2025,VRTX,Vertex Pharmaceuticals Inc.,Health Care,3.00%,$501.15 ,$500.19
5/4/2025,MRNA,Moderna Inc.,Health Care,3.00%,$27.61 ,$27.84
5/4/2025,UNH,UnitedHealth Group Inc.,Health Care,3.00%,$347.02 ,$348.06
5/4/2025,V,Visa Inc.,Financials,3.00%,$558.63 ,$560.36
5/4/2025,MA,Mastercard Inc.,Financials,3.00%,$99.25 ,$98.38
5/4/2025,SHOP,Shopify Inc.,Information Technology,2.00%,$99.25 ,$98.38
5/4/2025,ISRG,Intuitive Surgical Inc.,Health Care,2.00%,$529.42 ,$531.82
5/4/2025,LRCX,Lam Research Corp.,Information Technology,2.00%,$74.33 ,$73.73
5/4/2025,NEE,NextEra Energy Inc.,Utilities,2.00%,$66.55 ,$65.57
5/4/2025,PYPL,PayPal Holdings Inc.,Financials,2.00%,$67.24 ,$68.54
5/5/2025,NVDA,NVIDIA Corporation,Information Technology,5.00%,$113.81 ,$113.53
