Date,Ticker,Company Name,Sector,Weight,Price,Price Sell
4/28/2025,NVDA,NVIDIA Corporation,Information Technology,10.00%,$108.72 ,$109.01
4/28/2025,TSLA,Tesla Inc,Consumer Discretionary,10.00%,$285.88 ,$292.03
4/28/2025,PLTR,Palantir Technologies Inc,Information Technology,10.00%,$114.65 ,$116.08
4/28/2025,AMD,Advanced Micro Devices Inc,Information Technology,10.00%,$96.39 ,$96.06
4/28/2025,XYZ,Block Inc,Financials,10.00%,$58.32 ,$59.56
4/28/2025,MRNA,Moderna Inc,Health Care,10.00%,$27.46 ,$27.82
4/28/2025,NET,Cloudflare Inc,Information Technology,10.00%,$121.00 ,$122.23
4/28/2025,ROKU,Roku Inc,Communication Services,10.00%,$68.14 ,$69.28
4/28/2025,FSLR,First Solar Inc,Energy,10.00%,$140.73 ,$137.24
4/28/2025,CRSP,CRISPR Therapeutics AG,Health Care,10.00%,$37.88 ,$37.40
4/30/2025,TSLA,Tesla Inc.,Consumer Discretionary,10.00%,$282.16 ,$280.52
4/30/2025,NVDA,NVIDIA Corp.,Information Technology,10.00%,$108.91 ,$111.60
4/30/2025,AMD,Advanced Micro Devices Inc.,Information Technology,10.00%,$97.35 ,$96.65
4/30/2025,AMZN,Amazon.com Inc.,Consumer Discretionary,10.00%,$184.82 ,$190.20
4/30/2025,META,Meta Platforms Inc.,Communication Services,10.00%,$248.58 ,$571.77
4/30/2025,NFLX,Netflix Inc.,Communication Services,10.00%,"$1,131.72 ","$1,133.47"
4/30/2025,MRNA,Moderna Inc.,Healthcare,10.00%,$28.54 ,$27.03
4/30/2025,PYPL,PayPal Holdings Inc.,Financials,10.00%,$65.84 ,$65.41
4/30/2025,ETSY,Etsy Inc.,Consumer Discretionary,10.00%,$43.48 ,$42.51
4/30/2025,XYZ,Block Inc.,Financials,10.00%,$58.47 ,$58.48
5/4/2025,TSLA,Tesla Inc,Consumer Discretionary,15.00%,$287.21 ,$280.26
5/4/2025,NVDA,NVIDIA Corp,Information Technology,15.00%,$114.49 ,$113.81
