Date,Ticker,Company Name,Sector,Weight,Price,Price Sell
4/28/2025,NEE,NextEra Energy,Utilities,10.00%,$65.66,$65.66
4/28/2025,DUK,Duke Energy,Utilities,10.00%,$119.58,$119.58
4/28/2025,PG,Procter & Gamble,Consumer Staples,10.00%,$160.75,$160.75
4/28/2025,KO,Coca-Cola,Consumer Staples,10.00%,$71.28,$71.28
4/28/2025,JNJ,Johnson & Johnson,Healthcare,10.00%,$154.03,$154.03
4/28/2025,UNH,UnitedHealth Group,Healthcare,10.00%,$417.04,$417.04
4/28/2025,O,Realty Income,Real Estate,10.00%,$56.17,$56.17
4/28/2025,MMM,3M,Industrials,10.00%,$137.28,$137.28
4/28/2025,BRK.B,Berkshire Hathaway,Financials,10.00%,$530.94,$534.57
4/28/2025,IBM,International Business Machines,Information Technology,10.00%,$234.60,$234.60
4/30/2025,NEE,NextEra Energy,Utilities,12.00%,$66.34,$65.52
4/30/2025,DUK,Duke Energy,Utilities,12.00%,$120.92,$120.24
4/30/2025,PG,Procter & Gamble,Consumer Staples,12.00%,$161.46,$158.89
4/30/2025,KO,Coca-Cola,Consumer Staples,12.00%,$72.04,$70.79
4/30/2025,JNJ,Johnson & Johnson,Healthcare,12.00%,$154.98,$153.15
4/30/2025,UNH,UnitedHealth Group,Healthcare,12.00%,$408.54,$397.85
4/30/2025,MSFT,Microsoft,Information Technology,8.00%,$394.54,$424.62
4/30/2025,AAPL,Apple,Information Technology,8.00%,$212.22,$213.04
4/30/2025,MMM,3M,Industrials,6.00%,$138.23,$137.23
4/30/2025,PLD,Prologis,Real Estate,6.00%,$101.23,$102.10
5/1/2025,JNJ,Johnson & Johnson,Healthcare,12.00%,$153.15,$154.79
5/1/2025,PG,Procter & Gamble Co,Consumer Staples,10.00%,$158.90,$159.43
5/1/2025,KO,Coca-Cola Co,Consumer Staples,10.00%,$70.79,$71.14
5/1/2025,NEE,NextEra Energy Inc,Utilities,15.00%,$65.52,$66.55
5/1/2025,DUK,Duke Energy Corp,Utilities,10.00%,$120.24,$120.48
5/1/2025,WMT,Walmart Inc,Consumer Staples,10.00%,$97.17,$98.51
5/1/2025,UNH,UnitedHealth Group Inc,Healthcare,8.00%,$397.85,$397.10
5/1/2025,BRK.B,Berkshire Hathaway Inc,Financials,10.00%,$424.62,$434.48
5/1/2025,MSFT,Microsoft Corp,Technology,10.00%,$530.23,$539.80
5/1/2025,HON,Honeywell International Inc,Industrials,5.00%,$209.67,$213.04
5/5/2025,NEE,NextEra Energy,Utilities,10.00%,$65.57 ,$66.00
5/5/2025,DUK,Duke Energy,Utilities,10.00%,$119.66 ,$121.83
5/5/2025,PG,Procter & Gamble,Consumer Staples,10.00%,$157.75 ,$158.17
5/5/2025,KO,Coca-Cola,Consumer Staples,10.00%,$71.19 ,$71.21
5/5/2025,JNJ,Johnson & Johnson,Healthcare,10.00%,$153.68 ,$153.16
5/5/2025,UNH,UnitedHealth Group,Healthcare,10.00%,$401.95 ,$391.73
5/5/2025,MSFT,Microsoft,Information Technology,10.00%,$435.37 ,$432.51
5/5/2025,V,Visa,Information Technology,10.00%,$348.06 ,$347.12
5/5/2025,BRK.B,Berkshire Hathaway,Financials,10.00%,$512.15 ,$512.33
5/5/2025,UNP,Union Pacific,Industrials,10.00%,$215.22 ,$211.92
5/6/2025,SPY,SPDR S&P 500 ETF Trust,Diversified ETF,30.00%,$557.15 ,$559.49
5/6/2025,JNJ,Johnson & Johnson,Healthcare,12.50%,$153.16 ,$155.96
5/6/2025,PG,Procter & Gamble,Consumer Staples,12.50%,$158.17 ,$158.21
5/6/2025,KO,Coca-Cola,Consumer Staples,10.00%,$71.21 ,$71.88
5/6/2025,NEE,NextEra Energy,Utilities,10.00%,$66.00 ,$68.82
5/6/2025,DUK,Duke Energy,Utilities,7.50%,$121.83 ,$121.49
5/6/2025,VZ,Verizon Communications,Communication Services,7.50%,$43.45 ,$43.19
5/6/2025,O,Realty Income,Real Estate,5.00%,$55.99 ,$55.94
5/6/2025,IBM,International Business Machines,Information Technology,5.00%,$247.47 ,$251.70
5/7/2025,PG,Procter & Gamble Co,Consumer Staples,10.00%,$157.57 ,$156.68
5/7/2025,JNJ,Johnson & Johnson,Healthcare,10.00%,$154.54 ,$152.90
5/7/2025,NEE,NextEra Energy Inc,Utilities,10.00%,$67.77 ,$69.74
5/7/2025,MSFT,Microsoft Corp,Information Technology,10.00%,$437.36 ,$437.92
5/7/2025,WMT,Walmart Inc,Consumer Staples,10.00%,$97.19 ,$96.48
5/7/2025,KO,Coca-Cola Co,Consumer Staples,10.00%,$70.66 ,$70.02
5/7/2025,JPM,JPMorgan Chase & Co,Financials,10.00%,$252.25 ,$251.86
5/7/2025,AAPL,Apple Inc,Information Technology,10.00%,$197.23 ,$198.27
5/7/2025,XOM,Exxon Mobil Corp,Energy,10.00%,$105.10 ,$106.33
5/7/2025,VZ,Verizon Communications Inc,Communication Services,10.00%,$42.91 ,$42.91
5/8/2025,SPHD,Invesco S&P 500 High Dividend Low Volatility ETF,Financials,30.00%,$46.92 ,$46.90
5/8/2025,NOBL,ProShares S&P 500 Dividend Aristocrats ETF,Financials,20.00%,$98.09 ,$97.90
5/8/2025,JNJ,Johnson & Johnson,Healthcare,10.00%,$154.34 ,$152.91
5/8/2025,PG,Procter & Gamble,Consumer Staples,10.00%,$157.57 ,$154.59
5/8/2025,NEE,NextEra Energy,Utilities,10.00%,$67.77 ,$69.75
5/8/2025,KO,Coca-Cola,Consumer Staples,10.00%,$70.67 ,$70.02
5/8/2025,MSFT,Microsoft,Information Technology,10.00%,$437.37 ,$437.93
5/9/2025,NEE,NextEra Energy,Utilities,10.00%,$69.75 ,$69.13
