Date,Ticker,Company Name,Sector,Weight,Price,Price Sell
4/28/2025,JPM,JPMorgan Chase & Co.,Financials,4.00%,$242.05,$243.45
4/28/2025,BAC,Bank of America Corp,Financials,4.00%,$39.55,$39.75
4/28/2025,BRK.B,Berkshire Hathaway Inc.,Financials,4.00%,$530.94,$534.57
4/28/2025,XOM,Exxon Mobil Corp,Energy,4.00%,$107.64,$107.37
4/28/2025,CVX,Chevron Corp,Energy,4.00%,$138.41,$137.62
4/28/2025,OXY,Occidental Petroleum Corp,Energy,4.00%,$40.28,$40.13
4/28/2025,PFE,Pfizer Inc.,Health Care,4.00%,$22.23,$22.95
4/28/2025,MRK,Merck & Co. Inc.,Health Care,4.00%,$82.36,$83.87
4/28/2025,BMY,Bristol-Myers Squibb Co.,Health Care,4.00%,$47.83,$48.58
4/28/2025,PG,Procter & Gamble Co.,Consumer Staples,4.00%,$160.75,$161.16
4/28/2025,KO,Coca-Cola Co.,Consumer Staples,4.00%,$71.28,$71.84
4/28/2025,KMB,Kimberly-Clark Corp,Consumer Staples,4.00%,$129.68,$129.33
4/28/2025,DUK,Duke Energy Corp,Utilities,4.00%,$119.58,$120.60
4/28/2025,D,Dominion Energy Inc,Utilities,4.00%,$53.10,$53.66
4/28/2025,MMM,3M Co.,Industrials,4.00%,$137.26,$137.70
4/28/2025,CAT,Caterpillar Inc.,Industrials,4.00%,$305.94,$306.28
4/28/2025,GE,General Electric Co.,Industrials,4.00%,$200.57,$202.21
4/28/2025,DD,DuPont de Nemours Inc.,Materials,4.00%,$65.28,$65.46
4/28/2025,NUE,Nucor Corp,Materials,4.00%,$116.08,$118.27
4/28/2025,INTC,Intel Corp,Information Technology,4.00%,$20.51,$20.34
4/28/2025,CSCO,Cisco Systems Inc.,Information Technology,4.00%,$56.50,$57.00
4/28/2025,VZ,Verizon Communications Inc.,Communication Services,4.00%,$41.71,$42.27
4/28/2025,T,AT&T Inc.,Communication Services,4.00%,$26.99,$27.03
4/28/2025,TGT,Target Corp,Consumer Discretionary,4.00%,$95.28,$95.81
4/28/2025,HD,Home Depot Inc.,Consumer Discretionary,4.00%,$354.72,$356.78
4/30/2025,BRK.B,Berkshire Hathaway Inc.,Financials,4.00%,$533.25 ,$530.23
4/30/2025,JPM,JPMorgan Chase & Co.,Financials,4.00%,$243.45 ,$245.71
4/30/2025,XOM,Exxon Mobil Corp.,Energy,4.00%,$104.67 ,$104.81
4/30/2025,CVX,Chevron Corp.,Energy,4.00%,$134.42 ,$134.62
4/30/2025,BAC,Bank of America Corp.,Financials,4.00%,$39.65 ,$39.93
4/30/2025,PFE,Pfizer Inc.,Healthcare,4.00%,$23.55 ,$23.08
4/30/2025,INTC,Intel Corp.,Information Technology,4.00%,$20.10 ,$19.98
4/30/2025,C,Citigroup Inc.,Financials,4.00%,$67.39 ,$67.16
4/30/2025,DUK,Duke Energy Corp.,Utilities,4.00%,$120.92 ,$120.24
4/30/2025,DOW,Dow Inc.,Materials,4.00%,$29.85 ,$29.79
4/30/2025,GM,General Motors Co.,Consumer Discretionary,4.00%,$45.10 ,$44.90
4/30/2025,KHC,Kraft Heinz Co.,Consumer Staples,4.00%,$28.67 ,$28.08
4/30/2025,GLW,Corning Inc.,Information Technology,4.00%,$44.13 ,$44.53
4/30/2025,VLO,Valero Energy Corp.,Energy,4.00%,$114.18 ,$113.00
4/30/2025,SO,The Southern Co.,Utilities,4.00%,$91.12 ,$90.70
4/30/2025,HPQ,HP Inc.,Information Technology,4.00%,$25.28 ,$25.10
4/30/2025,FDX,FedEx Corp.,Industrials,4.00%,$208.98 ,$208.71
4/30/2025,TAP,Molson Coors Beverage Co.,Consumer Staples,4.00%,$57.01 ,$56.73
4/30/2025,IP,International Paper Co.,Materials,4.00%,$45.24 ,$43.47
4/30/2025,BBY,Best Buy Co. Inc.,Consumer Discretionary,4.00%,$65.77 ,$63.12
4/30/2025,CAH,Cardinal Health Inc.,Healthcare,4.00%,$140.86 ,$145.09
4/30/2025,GAP,Gap Inc.,Consumer Discretionary,4.00%,$20.63 ,$21.87
4/30/2025,T,AT&T Inc.,Communication Services,4.00%,$27.43 ,$27.37
4/30/2025,DAL,Delta Air Lines Inc.,Industrials,4.00%,$41.36 ,$41.23
4/30/2025,KR,Kroger Co.,Consumer Staples,4.00%,$71.86 ,$71.83
5/5/2025,JPM,JPMorgan Chase & Co.,Financials,4.00%,$251.35 ,$248.05
5/5/2025,BRK.B,Berkshire Hathaway Inc.,Financials,4.00%,$512.15 ,$512.33
5/5/2025,XOM,Exxon Mobil Corporation,Energy,4.00%,$102.33 ,$103.75
5/5/2025,CVX,Chevron Corporation,Energy,4.00%,$133.87 ,$133.97
5/5/2025,DUK,Duke Energy Corp,Utilities,4.00%,$119.66 ,$121.83
5/5/2025,SO,The Southern Company,Utilities,4.00%,$90.29 ,$1.96
5/5/2025,PG,Procter & Gamble Co.,Consumer Staples,4.00%,$157.75 ,$158.17
5/5/2025,KO,Coca-Cola Co.,Consumer Staples,4.00%,$71.19 ,$71.21
5/5/2025,JNJ,Johnson & Johnson,Healthcare,4.00%,$153.68 ,$153.16
5/5/2025,PFE,Pfizer Inc.,Healthcare,4.00%,$23.02 ,$22.07
5/5/2025,VZ,Verizon Communications Inc.,Communication Services,4.00%,$42.85 ,$43.45
5/5/2025,T,AT&T Inc.,Communication Services,4.00%,$27.24 ,$27.88
5/5/2025,INTC,Intel Corporation,Technology,4.00%,$20.27 ,$19.94
5/5/2025,IBM,International Business Machines Corp,Technology,4.00%,$247.53 ,$247.47
5/5/2025,MMM,3M Company,Industrials,4.00%,$140.11 ,$137.35
5/5/2025,GM,General Motors Co.,Consumer Discretionary,4.00%,$45.24 ,$45.31
5/5/2025,BBY,Best Buy Co. Inc.,Consumer Discretionary,4.00%,$66.73 ,$65.77
5/5/2025,WBA,Walgreens Boots Alliance Inc.,Consumer Staples,4.00%,$11.00 ,$10.99
5/5/2025,KHC,Kraft Heinz Co.,Consumer Staples,4.00%,$28.17 ,$27.98
5/5/2025,C,Citigroup Inc.,Financials,4.00%,$29.78 ,$69.02
5/5/2025,BAC,Bank of America Corp,Financials,4.00%,$40.88 ,$40.60
5/5/2025,VLO,Valero Energy Corp,Energy,4.00%,$117.38 ,$115.08
5/5/2025,CAT,Caterpillar Inc.,Industrials,4.00%,$321.93 ,$319.72
5/5/2025,DOW,Dow Inc.,Materials,4.00%,$28.25 ,$28.10
5/5/2025,ABBV,AbbVie Inc.,Healthcare,4.00%,$194.39 ,$185.55
5/7/2025,BRK.B,Berkshire Hathaway Inc.,Financials,4.00%,$518.22 ,$513.25 
5/7/2025,JNJ,Johnson & Johnson,Healthcare,4.00%,$155.96 ,$154.34 
5/7/2025,XOM,Exxon Mobil Corporation,Energy,4.00%,$103.65 ,$105.10 
5/7/2025,CVX,Chevron Corporation,Energy,4.00%,$134.15 ,$135.39 
5/7/2025,T,AT&T Inc.,Communication Services,4.00%,$27.82 ,$27.19 
5/7/2025,VZ,Verizon Communications Inc.,Communication Services,4.00%,$43.19 ,$42.91 
5/7/2025,MRK,Merck & Co. Inc.,Healthcare,4.00%,$78.33 ,$76.88 
5/7/2025,C,Citigroup Inc.,Financials,4.00%,$69.79 ,$71.17 
5/7/2025,BAC,Bank of America Corporation,Financials,4.00%,$40.69 ,$41.35 
5/7/2025,WFC,Wells Fargo & Company,Financials,4.00%,$72.78 ,$72.90 
5/7/2025,KO,The Coca-Cola Company,Consumer Staples,4.00%,$71.16 ,$70.66 
5/7/2025,PG,Procter & Gamble Company,Consumer Staples,4.00%,$157.46 ,$157.57 
5/7/2025,WMT,Walmart Inc.,Consumer Staples,4.00%,$98.07 ,$97.19 
5/7/2025,INTC,Intel Corporation,Technology,4.00%,$19.82 ,$21.00 
5/7/2025,IBM,International Business Machines Corp.,Technology,4.00%,$251.69 ,$252.46 
5/7/2025,MMM,3M Company,Industrials,4.00%,$137.96 ,$140.43 
5/7/2025,DOW,Dow Inc.,Materials,4.00%,$27.75 ,$28.52 
5/7/2025,VLO,Valero Energy Corporation,Energy,4.00%,$115.02 ,$119.72 
5/7/2025,DUK,Duke Energy Corporation,Utilities,4.00%,$121.49 ,$118.91 
5/7/2025,SO,The Southern Company,Utilities,4.00%,$91.34 ,$89.44 
5/7/2025,KHC,The Kraft Heinz Company,Consumer Staples,4.00%,$27.81 ,$28.06 
5/7/2025,GM,General Motors Company,Consumer Discretionary,4.00%,$45.32 ,$47.19 
5/7/2025,HPQ,HP Inc.,Technology,4.00%,$25.55 ,$26.03 
5/7/2025,MET,MetLife Inc.,Financials,4.00%,$76.15 ,$77.00 
5/7/2025,CLX,The Clorox Company,Consumer Staples,4.00%,$136.47 ,$137.81 
5/9/2025,JPM,JPMorgan Chase & Co.,Financials,5.95%,$251.87 ,$258.80 
5/9/2025,WFC,Wells Fargo & Co.,Financials,4.76%,$72.45 ,$74.87 
5/9/2025,C,Citigroup Inc.,Financials,4.76%,$70.98 ,$74.42 
5/9/2025,BAC,Bank of America Corp.,Financials,4.17%,$41.55 ,$43.10 
5/9/2025,BRK.B,Berkshire Hathaway Inc.,Financials,5.95%,$513.74 ,$514.30 
5/9/2025,XOM,Exxon Mobil Corp.,Energy,5.95%,$106.33 ,$108.16 
5/9/2025,CVX,Chevron Corp.,Energy,5.36%,$136.82 ,$139.92 
5/9/2025,COP,ConocoPhillips,Energy,4.17%,$87.84 ,$91.49 
5/9/2025,DUK,Duke Energy Corp.,Utilities,3.57%,$119.25 ,$114.80 
5/9/2025,SO,The Southern Co.,Utilities,3.57%,$89.60 ,$87.05 
5/9/2025,D,Dominion Energy Inc.,Utilities,2.98%,$54.43 ,$54.19 
5/9/2025,PG,Procter & Gamble Co.,Consumer Staples,5.36%,$156.59 ,$159.81 
5/9/2025,KO,Coca-Cola Co.,Consumer Staples,4.17%,$70.02 ,$69.05 
